timestamp,snow,rain,maxwspd,precip,debris
datetime,int,int,float,float,int
T,,,,,
2012-04-28,0,1,40,5.08,13
2012-04-29,0,1,27,2.79,19
2012-04-30,0,1,23,9.91,67
2012-05-01,0,1,26,8.13,44
2012-05-02,0,1,52,0.0,45
2012-05-03,0,1,47,1.78,41
2012-05-04,0,1,32,6.86,38
2012-05-05,0,0,24,0.00,23
2012-05-06,0,1,34,10.16,14
2012-05-07,0,1,34,1.02,53
2012-05-08,0,0,34,0.00,49
2012-05-09,0,1,24,0.0,58
2012-05-10,0,0,24,0.00,48
2012-05-11,0,0,32,0.00,39
2012-05-12,0,1,34,6.35,10
2012-05-13,0,0,40,0.00,17
2012-05-14,0,0,23,0.00,105
2012-05-15,0,1,40,0.0,63
2012-05-16,0,0,42,0.00,49
2012-05-17,0,0,24,0.00,49
2012-05-18,0,0,24,0.00,40
2012-05-19,0,0,27,0.00,22
2012-05-20,0,1,37,3.56,21
2012-05-21,0,0,42,0.00,81
2012-05-22,0,0,24,0.00,84
2012-05-23,0,0,27,0.00,99
2012-05-24,0,0,47,0.00,87
2012-05-25,0,0,29,0.00,91
2012-05-26,0,0,37,0.00,24
2012-05-27,0,0,32,0.00,12
2012-05-28,0,0,45,0.51,27
2012-05-29,0,1,48,0.0,119
2012-05-30,0,0,29,0.00,90
2012-05-31,0,1,39,24.64,50
2012-06-01,0,1,35,0.76,53
2012-06-02,0,0,37,0.00,27
2012-06-03,0,0,32,0.0,20
2012-06-04,0,0,26,0.00,110
2012-06-05,0,0,32,0.00,77
2012-06-06,0,0,24,0.00,76
2012-06-07,0,0,24,0.00,70
2012-06-08,0,0,24,0.00,72
2012-06-09,0,0,29,0.00,26
2012-06-10,0,0,39,0.00,19
2012-06-11,0,0,32,0.00,91
2012-06-12,0,0,27,0.00,87
2012-06-13,0,0,26,0.00,90
2012-06-14,0,0,26,0.00,91
2012-06-15,0,0,27,0.00,74
2012-06-16,0,1,42,4.06,31
2012-06-17,0,1,24,3.81,16
